epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2737.28,0.428,0.97235,1,0.08369,0.000369846,0.000369846,0.000369846
2,5429.97,0.10091,0.99013,1,0.03815,0.000666902,0.000666902,0.000666902
3,8118.76,0.07899,0.99144,1,0.02416,0.000890631,0.000890631,0.000890631
4,10508.1,0.06197,0.99671,1,0.02087,0.000781033,0.000781033,0.000781033
5,12911.5,0.05082,1,1,0.0046,0.000671044,0.000671044,0.000671044
6,15321.2,0.0268,0.99671,1,0.01163,0.000561055,0.000561055,0.000561055
7,17741.4,0.02846,0.99737,1,0.00779,0.000451066,0.000451066,0.000451066
8,20888.5,0.01948,0.99934,1,0.00236,0.000341077,0.000341077,0.000341077
9,24111.7,0.01891,1,1,0.00251,0.000231088,0.000231088,0.000231088
10,27226.4,0.0156,0.99868,1,0.00305,0.000121099,0.000121099,0.000121099
